Student_ID,MST_Score,Quiz_Score,Attendance_Percent,Assignment_Score,Performance_Score,Performance_Category
STU0050,90.6,67.7,95.0,69.0,82.58,High Performer
STU0051,40.9,46.1,67.8,65.6,52.26,Average Performer
STU0052,48.3,58.2,90.6,60.2,61.12,Average Performer
STU0053,77.7,63.5,92.8,66.7,75.68,High Performer
STU0054,62.3,58.0,28.9,38.3,49.96,Needs Improvement
STU0055,69.7,79.0,89.7,86.7,78.96,High Performer
STU0056,28.3,25.4,73.6,48.8,40.88,Needs Improvement
STU0057,82.4,65.5,45.6,80.8,71.34,Average Performer
STU0058,80.7,77.1,86.2,61.0,77.14,High Performer
STU0059,36.8,60.3,93.4,43.1,54.08,Average Performer
STU0060,73.0,66.6,83.4,81.2,75.44,High Performer
STU0061,80.2,66.5,76.8,66.4,74.02,Average Performer
STU0062,77.7,73.4,84.6,80.5,78.78,High Performer
STU0063,36.0,52.1,21.0,62.5,41.52,Needs Improvement
STU0064,37.3,63.1,37.0,48.3,44.6,Needs Improvement
STU0065,63.2,58.9,97.1,64.1,69.3,Average Performer
STU0066,75.3,68.4,49.2,65.9,66.82,Average Performer
STU0067,96.2,94.8,67.0,100.0,90.84,High Performer
STU0068,58.5,49.4,61.3,56.3,56.8,Average Performer
STU0069,55.1,54.9,39.4,47.3,50.36,Average Performer
STU0070,63.9,71.3,71.9,57.8,65.76,Average Performer
STU0071,66.1,77.4,81.2,62.9,70.74,Average Performer
STU0072,66.2,49.0,68.2,50.6,60.04,Average Performer
STU0073,80.6,57.6,99.1,84.8,80.54,High Performer
STU0074,53.5,78.4,68.9,52.0,61.26,Average Performer
STU0075,60.6,59.7,82.8,67.4,66.22,Average Performer
STU0076,44.3,36.8,80.0,36.7,48.42,Needs Improvement
STU0077,84.4,,82.3,79.4,80.52,High Performer
STU0078,74.3,68.6,51.5,86.9,71.12,Average Performer
STU0079,73.9,80.1,63.2,94.5,77.12,High Performer
STU0080,64.9,62.6,82.9,79.3,70.92,Average Performer
STU0081,67.5,78.1,94.2,72.4,75.94,High Performer
STU0082,67.6,58.4,82.4,69.2,69.04,Average Performer
STU0083,67.3,86.9,64.0,78.3,72.76,Average Performer
STU0084,81.4,87.9,97.7,98.4,89.36,High Performer
STU0085,74.5,85.8,82.8,78.6,79.24,High Performer
STU0086,67.3,52.9,88.6,52.5,65.72,Average Performer
STU0087,72.9,69.8,77.3,85.3,75.64,High Performer
STU0088,100.0,82.0,69.2,88.2,87.88,High Performer
STU0089,50.0,61.1,41.2,48.4,50.14,Average Performer
STU0090,84.9,56.3,68.4,58.9,70.68,Average Performer
STU0091,50.4,72.5,55.7,50.3,55.86,Average Performer
STU0092,76.9,77.0,89.2,78.3,79.66,High Performer
STU0093,70.6,67.0,89.4,72.8,74.08,Average Performer
STU0094,62.3,42.9,79.7,47.1,58.86,Average Performer
STU0095,55.4,60.3,37.7,53.4,52.44,Average Performer
STU0096,38.6,63.2,94.4,68.8,60.72,Average Performer
STU0097,76.0,98.1,88.9,92.5,86.3,High Performer
STU0098,66.7,67.6,67.3,71.4,67.94,Average Performer
STU0099,77.4,49.6,56.8,66.1,65.46,Average Performer
STU0100,59.5,66.3,74.5,72.7,66.5,Average Performer
STU0101,62.8,49.9,82.2,54.7,62.48,Average Performer
STU0102,55.2,59.8,94.8,73.9,67.78,Average Performer
STU0103,29.7,32.3,44.3,44.4,36.08,Needs Improvement
STU0104,65.9,56.8,98.4,51.6,67.72,Average Performer
STU0105,91.2,81.4,68.7,80.7,82.64,High Performer
STU0106,59.9,55.7,87.0,55.7,63.64,Average Performer
STU0107,49.0,54.4,52.0,56.0,52.08,Average Performer
STU0108,52.6,70.2,69.0,62.0,61.28,Average Performer
STU0109,82.7,48.9,86.0,56.5,71.36,Average Performer
STU0110,39.0,60.5,86.8,57.8,56.62,Average Performer
STU0111,41.0,47.1,79.1,,53.76,Average Performer
STU0112,47.6,72.7,92.0,79.9,67.96,Average Performer
STU0113,46.8,29.1,73.3,66.9,52.58,Average Performer
STU0114,42.2,63.7,71.3,32.9,50.46,Average Performer
STU0115,66.9,52.3,73.8,52.8,62.54,Average Performer
STU0116,66.6,84.2,91.8,67.0,75.24,High Performer
STU0117,75.2,67.7,80.4,83.3,76.36,High Performer
STU0118,55.7,53.6,54.3,65.0,56.86,Average Performer
STU0119,69.2,78.5,99.4,74.0,78.06,High Performer
STU0120,74.9,48.0,92.5,62.7,70.6,Average Performer
STU0121,78.5,84.2,61.4,74.8,75.48,High Performer
STU0122,75.2,89.6,70.6,86.0,79.32,High Performer
STU0123,42.6,57.4,74.8,40.6,51.6,Average Performer
STU0124,70.7,51.7,79.0,72.5,68.92,Average Performer
STU0125,47.4,43.0,81.3,54.7,54.76,Average Performer
STU0126,69.4,50.6,89.7,75.6,70.94,Average Performer
STU0127,68.0,51.2,76.0,77.2,68.08,Average Performer
STU0128,76.6,76.4,71.7,66.3,73.52,Average Performer
STU0129,85.7,83.6,82.4,88.0,85.08,High Performer
STU0130,68.7,54.0,62.3,68.2,64.38,Average Performer
STU0131,58.5,80.2,98.6,64.9,72.14,Average Performer
STU0132,65.5,56.9,78.1,42.8,61.76,Average Performer
STU0133,66.4,81.2,32.5,96.8,68.66,Average Performer
STU0134,57.9,68.1,58.1,51.5,58.7,Average Performer
STU0135,59.8,75.2,76.4,62.6,66.76,Average Performer
STU0136,53.4,75.8,92.4,74.7,69.94,Average Performer
STU0137,52.0,41.6,76.8,,55.56,Average Performer
STU0138,71.6,63.1,87.3,73.1,73.34,Average Performer
STU0139,62.2,65.0,53.5,40.9,56.76,Average Performer
STU0140,72.2,69.6,92.7,56.0,72.54,Average Performer
STU0141,54.5,41.9,89.7,71.7,62.46,Average Performer
STU0142,58.6,70.4,90.3,45.0,64.58,Average Performer
STU0143,68.4,74.8,77.9,82.9,74.48,Average Performer
STU0144,42.0,56.7,55.9,54.0,50.12,Average Performer
STU0145,42.8,42.2,73.5,62.9,52.84,Average Performer
STU0146,51.0,56.7,59.3,77.8,59.16,Average Performer
STU0147,89.5,79.1,79.2,75.0,82.46,High Performer
STU0148,64.6,69.6,92.0,58.8,69.92,Average Performer
STU0149,50.9,62.4,78.2,45.2,57.52,Average Performer
STU0150,51.1,68.0,95.0,66.6,66.36,Average Performer
STU0151,46.9,55.3,71.7,47.8,53.72,Average Performer
STU0152,67.4,59.8,82.0,94.3,74.18,Average Performer
STU0153,55.2,49.7,97.6,69.3,65.4,Average Performer
STU0154,79.5,74.2,92.0,51.1,75.26,High Performer
STU0155,54.5,78.7,56.4,68.4,62.5,Average Performer
STU0156,60.1,70.5,59.5,43.8,58.8,Average Performer
STU0157,87.2,82.2,84.6,70.2,82.28,High Performer
STU0158,80.0,70.1,62.3,77.8,74.04,Average Performer
STU0159,71.7,62.4,90.6,67.9,72.86,Average Performer
STU0160,49.9,63.5,73.7,48.3,57.06,Average Performer
STU0161,34.3,39.6,55.4,58.3,44.38,Needs Improvement
STU0162,51.0,56.0,20.5,63.4,48.38,Needs Improvement
STU0163,72.6,52.2,68.9,78.7,69.0,Average Performer
STU0164,46.2,49.0,80.0,63.2,56.92,Average Performer
STU0165,75.2,77.5,78.5,51.7,71.62,Average Performer
STU0166,75.8,64.4,90.1,57.0,72.62,Average Performer
STU0167,59.8,47.6,42.4,68.0,55.52,Average Performer
STU0168,64.2,75.6,92.4,64.2,72.12,Average Performer
STU0169,61.8,71.0,92.9,,72.12,Average Performer
STU0170,95.4,100.0,94.9,72.2,91.58,High Performer
STU0171,43.9,58.2,84.8,33.5,52.86,Average Performer
STU0172,59.2,52.6,66.8,58.8,59.32,Average Performer
STU0173,75.2,67.0,72.3,75.2,72.98,Average Performer
STU0174,82.9,87.3,86.5,69.9,81.9,High Performer
STU0175,100.0,99.8,69.1,84.8,90.74,High Performer
STU0176,81.6,59.5,87.7,77.4,77.56,High Performer
STU0177,53.8,61.8,33.0,65.6,53.6,Average Performer
STU0178,64.6,65.7,94.4,67.2,71.3,Average Performer
STU0179,55.3,49.8,77.2,67.4,61.0,Average Performer
STU0180,56.2,47.2,81.7,56.1,59.48,Average Performer
STU0181,36.3,46.6,94.6,53.3,53.42,Average Performer
STU0182,57.0,52.4,87.7,45.3,59.88,Average Performer
STU0183,51.3,69.6,72.7,72.2,63.42,Average Performer
STU0184,48.4,47.1,80.8,67.0,58.34,Average Performer
STU0185,83.5,74.9,84.0,78.6,80.9,High Performer
STU0186,58.4,73.9,80.9,64.1,67.14,Average Performer
STU0187,65.8,63.5,98.4,74.2,73.54,Average Performer
STU0188,84.1,58.2,95.0,71.9,78.66,High Performer
STU0189,70.3,71.7,70.9,63.3,69.3,Average Performer
STU0190,47.5,45.6,40.6,59.6,48.16,Needs Improvement
STU0191,61.4,30.9,90.4,46.3,58.08,Average Performer
STU0192,54.9,48.2,66.1,46.9,54.2,Average Performer
STU0193,56.6,50.0,59.6,61.3,56.82,Average Performer
STU0194,64.9,69.4,86.6,66.9,70.54,Average Performer
STU0195,75.1,69.5,71.1,61.7,70.5,Average Performer
STU0196,73.5,55.4,20.5,83.3,61.24,Average Performer
STU0197,45.6,60.2,94.2,64.0,61.92,Average Performer
STU0198,71.8,60.0,90.5,97.5,78.32,High Performer
STU0199,50.3,54.4,84.7,62.6,60.46,Average Performer
STU0200,71.3,47.6,41.1,68.1,59.88,Average Performer
STU0201,64.6,60.9,92.4,84.1,73.32,Average Performer
STU0202,62.9,61.6,55.9,82.0,65.06,Average Performer
STU0203,72.6,92.9,80.7,78.3,79.42,High Performer
STU0204,58.1,62.7,38.5,56.4,54.76,Average Performer
STU0205,41.2,37.3,60.3,19.9,39.98,Needs Improvement
STU0206,94.3,86.6,64.5,98.2,87.58,High Performer
STU0207,66.8,57.1,80.4,50.0,64.22,Average Performer
STU0208,81.2,71.9,88.8,79.9,80.6,High Performer
STU0209,61.7,81.2,87.3,81.6,74.7,Average Performer
STU0210,61.5,55.0,94.7,81.3,70.8,Average Performer
STU0211,68.4,54.3,67.5,68.5,65.42,Average Performer
STU0212,58.7,42.2,99.2,57.9,63.34,Average Performer
STU0213,46.6,45.7,91.4,52.4,56.54,Average Performer
STU0214,73.0,83.3,91.2,66.0,77.3,High Performer
STU0215,84.6,74.3,86.8,70.6,80.18,High Performer
STU0216,63.2,51.5,87.7,55.3,64.18,Average Performer
STU0217,34.1,25.3,,21.9,40.5,Needs Improvement
STU0218,61.8,60.4,67.9,59.3,62.24,Average Performer
STU0219,60.4,61.7,77.5,75.1,67.02,Average Performer
STU0220,75.4,91.1,70.9,75.2,77.6,High Performer
STU0221,58.4,71.9,76.3,59.0,64.8,Average Performer
STU0222,75.1,92.0,79.9,63.6,77.14,High Performer
STU0223,69.6,75.8,80.0,57.9,70.58,Average Performer
STU0224,61.0,61.5,94.7,75.7,70.78,Average Performer
STU0225,50.4,30.8,56.7,61.9,50.04,Average Performer
STU0226,47.2,50.4,91.4,67.3,60.7,Average Performer
STU0227,66.3,65.5,92.4,78.6,73.82,Average Performer
STU0228,34.3,42.2,67.5,36.3,42.92,Needs Improvement
STU0229,72.8,54.6,93.3,65.0,71.7,Average Performer
STU0230,54.4,52.2,52.4,46.6,52.0,Average Performer
STU0231,100.0,67.4,88.4,84.9,88.14,High Performer
STU0232,57.4,57.1,62.7,82.0,63.32,Average Performer
STU0233,71.2,71.3,86.5,58.0,71.64,Average Performer
STU0234,76.5,74.7,77.8,66.4,74.38,Average Performer
STU0235,55.5,49.6,74.2,66.0,60.16,Average Performer
STU0236,98.8,56.6,86.9,80.4,84.3,High Performer
STU0237,74.8,53.8,83.8,61.0,69.64,Average Performer
STU0238,61.0,64.3,76.0,59.8,64.42,Average Performer
STU0239,69.9,71.1,66.5,58.4,67.16,Average Performer
STU0240,49.1,47.0,80.1,72.7,59.6,Average Performer
STU0241,47.4,51.0,90.1,48.8,56.94,Average Performer
STU0242,65.8,53.8,70.0,69.6,65.0,Average Performer
STU0243,23.0,44.9,79.5,38.9,41.86,Needs Improvement
STU0244,63.7,92.1,54.3,70.9,68.94,Average Performer
STU0245,61.3,74.0,88.5,73.7,71.76,Average Performer
STU0246,74.7,67.5,67.5,75.9,72.06,Average Performer
STU0247,76.0,66.6,73.9,67.6,72.02,Average Performer
STU0248,88.2,71.3,90.6,66.9,81.04,High Performer
STU0249,76.9,71.4,68.5,65.7,71.88,Average Performer
STU0250,57.7,61.8,87.6,70.1,66.98,Average Performer
STU0251,76.6,83.2,33.9,52.6,64.58,Average Performer
STU0252,79.4,75.0,82.1,83.0,79.78,High Performer
STU0253,75.6,92.1,83.8,97.2,84.86,High Performer
STU0254,55.2,53.9,59.8,68.9,58.6,Average Performer
STU0255,63.9,62.7,88.9,64.7,68.82,Average Performer
STU0256,69.6,65.0,91.3,78.5,74.8,Average Performer
STU0257,100.0,100.0,84.3,98.8,96.62,High Performer
STU0258,68.4,76.6,27.0,64.5,60.98,Average Performer
STU0259,54.8,49.0,52.0,63.6,54.84,Average Performer
STU0260,60.0,42.5,92.5,72.3,65.46,Average Performer
STU0261,88.8,85.3,87.7,88.0,87.72,High Performer
STU0262,67.2,56.2,25.5,48.2,52.86,Average Performer
STU0263,50.2,36.2,86.4,60.7,56.74,Average Performer
STU0264,83.9,67.2,78.7,64.6,75.66,High Performer
STU0265,40.6,38.7,94.6,35.1,49.92,Needs Improvement
STU0266,38.6,68.7,82.3,64.2,58.48,Average Performer
STU0267,55.0,38.8,39.1,56.3,48.84,Needs Improvement
STU0268,70.5,67.6,64.6,64.1,67.46,Average Performer
STU0269,64.1,56.2,80.0,35.6,60.0,Average Performer
STU0270,56.9,74.5,82.6,59.1,66.0,Average Performer
STU0271,100.0,100.0,57.3,76.1,86.68,High Performer
STU0272,59.1,64.1,84.6,54.9,64.36,Average Performer
STU0273,83.7,64.9,54.4,80.5,73.44,Average Performer
STU0274,75.4,69.7,54.2,63.7,67.68,Average Performer
STU0275,69.1,68.6,82.4,71.4,72.12,Average Performer
STU0276,63.3,52.1,97.0,78.6,70.86,Average Performer
STU0277,98.6,83.0,92.3,75.8,89.66,High Performer
STU0278,85.4,66.1,81.9,61.2,76.0,High Performer
STU0279,79.1,58.8,28.0,70.1,63.02,Average Performer
STU0280,81.5,95.1,76.1,80.6,82.96,High Performer
STU0281,85.0,92.5,70.7,84.4,83.52,High Performer
STU0282,76.0,64.6,93.4,56.8,73.36,Average Performer
STU0283,92.9,77.7,78.1,63.5,81.02,High Performer
STU0284,66.3,90.2,93.2,62.8,75.76,High Performer
STU0285,56.9,60.1,82.5,61.8,63.64,Average Performer
STU0286,66.2,63.7,99.6,67.0,72.54,Average Performer
STU0287,78.7,100.0,70.5,74.3,80.44,High Performer
STU0288,61.0,61.7,72.3,58.6,62.92,Average Performer
STU0289,75.3,64.0,76.6,79.9,74.22,Average Performer
STU0290,76.2,93.7,77.2,83.0,81.26,High Performer
STU0291,81.9,57.0,76.0,83.6,76.08,High Performer
STU0292,26.9,24.8,62.1,55.2,39.18,Needs Improvement
STU0293,62.8,86.0,35.1,54.0,60.14,Average Performer
STU0294,35.8,38.1,79.9,20.0,41.92,Needs Improvement
STU0295,42.8,46.2,35.4,50.3,43.5,Needs Improvement
STU0296,55.6,62.1,89.3,44.1,61.34,Average Performer
STU0297,77.8,74.5,37.2,68.7,67.2,Average Performer
STU0298,19.4,31.9,79.4,55.6,41.14,Needs Improvement
STU0299,66.8,61.0,91.5,84.8,74.18,Average Performer
STU0300,69.6,61.5,53.1,70.5,64.86,Average Performer
STU0301,65.0,78.9,44.0,79.0,66.38,Average Performer
STU0302,66.4,57.1,87.6,60.7,67.64,Average Performer
STU0303,74.2,54.7,98.2,70.2,74.3,Average Performer
STU0304,83.5,89.6,66.4,90.0,82.6,High Performer
STU0305,63.1,81.1,93.7,67.0,73.6,Average Performer
STU0306,64.6,71.5,59.8,48.0,61.7,Average Performer
STU0307,87.2,74.3,66.5,95.9,82.22,High Performer
STU0308,53.4,57.9,68.9,49.8,56.68,Average Performer
STU0309,56.0,74.1,80.7,69.1,67.18,Average Performer
STU0310,39.7,39.4,41.6,67.2,45.52,Needs Improvement
STU0311,86.4,83.8,74.3,73.3,80.84,High Performer
STU0312,80.3,65.8,81.2,63.4,74.2,Average Performer
STU0313,82.3,75.0,88.8,63.9,78.46,High Performer
STU0314,73.2,49.7,72.1,73.2,68.28,Average Performer
STU0315,57.4,71.5,81.7,49.1,63.42,Average Performer
STU0316,51.0,51.6,94.3,59.2,61.42,Average Performer
STU0317,85.0,67.2,76.3,65.0,75.7,High Performer
STU0318,64.9,76.0,73.9,49.7,65.88,Average Performer
STU0319,66.7,61.2,68.8,80.2,68.72,Average Performer
STU0320,50.9,50.6,82.6,46.0,56.2,Average Performer
STU0321,87.5,60.4,82.7,85.0,80.62,High Performer
STU0322,67.5,63.3,96.3,73.2,73.56,Average Performer
STU0323,60.3,28.8,88.9,67.8,61.22,Average Performer
STU0324,56.4,66.9,74.9,69.2,64.76,Average Performer
STU0325,90.8,81.5,26.8,79.7,73.92,Average Performer
STU0326,52.3,55.7,71.3,68.3,59.98,Average Performer
STU0327,60.5,54.3,87.7,61.7,64.94,Average Performer
STU0328,59.2,88.6,73.0,81.7,72.34,Average Performer
STU0329,50.3,54.2,84.7,64.9,60.88,Average Performer
STU0330,48.3,69.3,93.9,45.5,61.06,Average Performer
STU0331,79.2,63.9,63.1,55.4,68.16,Average Performer
STU0332,63.8,55.4,80.5,69.7,66.64,Average Performer
STU0333,33.1,38.1,82.7,40.9,45.58,Needs Improvement
STU0334,69.9,71.9,94.6,78.4,76.94,High Performer
STU0335,75.3,88.5,73.0,73.5,77.12,High Performer
STU0336,47.7,58.0,67.0,83.1,60.7,Average Performer
STU0337,59.2,49.6,68.2,60.8,59.4,Average Performer
STU0338,60.7,73.4,57.2,64.9,63.38,Average Performer
STU0339,68.2,64.3,56.9,82.4,68.0,Average Performer
STU0340,66.4,81.3,93.6,68.6,75.26,High Performer
STU0341,65.6,67.1,98.9,57.3,70.9,Average Performer
STU0342,74.7,66.7,25.6,83.7,65.08,Average Performer
STU0343,99.7,88.6,81.7,82.0,90.34,High Performer
STU0344,62.1,77.8,82.9,68.1,70.6,Average Performer
STU0345,72.1,63.1,86.2,47.8,68.26,Average Performer
STU0346,49.1,63.0,88.6,66.7,63.3,Average Performer
STU0347,20.0,26.7,80.3,38.0,37.0,Needs Improvement
STU0348,54.1,54.2,94.9,76.5,66.76,Average Performer
STU0349,80.7,57.8,81.7,60.6,72.3,Average Performer
STU0350,99.0,81.7,54.4,82.7,83.36,High Performer
STU0351,89.1,87.4,69.9,85.6,84.22,High Performer
STU0352,47.5,28.9,72.8,46.9,48.72,Needs Improvement
STU0353,78.5,61.7,55.8,81.5,71.2,Average Performer
STU0354,42.6,27.9,86.2,38.0,47.46,Needs Improvement
STU0355,26.8,34.3,91.9,52.8,46.52,Needs Improvement
STU0356,67.2,69.1,88.6,70.3,72.48,Average Performer
STU0357,100.0,84.3,80.5,100.0,92.96,High Performer
STU0358,76.2,80.7,72.8,64.2,74.02,Average Performer
STU0359,42.6,40.9,70.6,51.4,49.62,Needs Improvement
STU0360,35.6,40.2,34.4,54.5,40.06,Needs Improvement
STU0361,87.0,87.3,81.5,81.9,84.94,High Performer
STU0362,78.0,78.5,28.8,83.1,69.28,Average Performer
STU0363,59.9,69.2,35.1,86.1,62.04,Average Performer
STU0364,42.1,53.8,78.8,61.1,55.58,Average Performer
STU0365,46.1,53.6,70.4,57.3,54.7,Average Performer
STU0366,51.5,59.2,77.6,61.0,60.16,Average Performer
STU0367,59.5,61.3,79.1,36.9,59.26,Average Performer
STU0368,57.4,68.9,52.3,66.1,60.42,Average Performer
STU0369,40.3,41.9,59.1,53.2,46.96,Needs Improvement
STU0370,67.8,73.1,57.2,51.1,63.4,Average Performer
STU0371,54.5,51.9,78.6,49.8,57.86,Average Performer
STU0372,93.2,83.4,99.0,82.3,90.22,High Performer
STU0373,42.4,47.7,93.2,58.1,56.76,Average Performer
STU0374,52.9,53.9,76.9,40.6,55.44,Average Performer
STU0375,68.1,51.3,67.8,36.5,58.36,Average Performer
STU0376,65.2,72.2,96.3,80.3,75.84,High Performer
STU0377,68.1,60.5,94.7,85.1,75.3,High Performer
STU0378,57.1,73.5,88.4,71.1,69.44,Average Performer
STU0379,55.3,46.5,89.5,49.9,59.3,Average Performer
STU0380,82.3,75.9,49.0,72.9,72.48,Average Performer
STU0381,79.3,88.8,86.1,76.1,81.92,High Performer
STU0382,90.2,100.0,81.6,96.4,91.68,High Performer
STU0383,59.8,58.8,47.6,49.0,55.0,Average Performer
STU0384,55.7,59.8,82.3,65.0,63.7,Average Performer
STU0385,67.1,66.5,70.0,76.5,69.44,Average Performer
STU0386,64.0,37.2,88.5,65.2,63.78,Average Performer
STU0387,57.3,45.7,93.5,56.5,62.06,Average Performer
STU0388,58.0,93.9,89.4,77.7,75.4,High Performer
STU0389,55.5,44.8,87.3,61.9,61.0,Average Performer
STU0390,62.5,38.8,74.6,61.0,59.88,Average Performer
STU0391,31.2,57.4,68.7,42.4,46.18,Needs Improvement
STU0392,73.2,87.3,69.8,55.3,71.76,Average Performer
STU0393,52.3,62.8,38.8,63.5,53.94,Average Performer
STU0394,41.9,39.1,67.7,47.3,47.58,Needs Improvement
STU0395,70.1,49.5,61.2,44.9,59.16,Average Performer
STU0396,68.6,75.3,,64.3,73.06,Average Performer
STU0397,81.1,91.0,46.2,70.1,73.9,Average Performer
STU0398,68.1,82.2,86.9,90.7,79.2,High Performer
STU0399,61.5,62.0,60.2,59.3,60.9,Average Performer
STU0400,36.9,46.8,71.2,50.8,48.52,Needs Improvement
STU0401,59.5,72.4,42.1,79.3,62.56,Average Performer
STU0402,66.1,61.0,41.3,92.0,65.3,Average Performer
STU0403,48.1,29.4,62.8,47.0,47.08,Needs Improvement
STU0404,48.7,29.1,93.7,81.5,60.34,Average Performer
STU0405,69.9,77.9,80.4,80.9,75.8,High Performer
STU0406,76.5,80.3,82.9,71.5,77.54,High Performer
STU0407,41.8,46.6,99.4,44.4,54.8,Average Performer
STU0408,71.1,77.2,98.3,86.2,80.78,High Performer
STU0409,73.9,82.7,76.7,61.8,73.8,Average Performer
STU0410,45.7,46.4,61.5,35.0,46.86,Needs Improvement
STU0411,48.4,51.0,77.6,60.2,57.12,Average Performer
STU0412,54.3,67.5,90.4,66.6,66.62,Average Performer
STU0413,59.3,54.9,77.3,50.9,60.34,Average Performer
STU0414,91.3,89.5,77.9,88.6,87.72,High Performer
STU0415,84.9,85.5,83.1,47.2,77.12,High Performer
STU0416,60.8,61.7,71.3,57.4,62.4,Average Performer
STU0417,78.5,78.0,82.3,70.6,77.58,High Performer
STU0418,55.1,63.8,79.9,67.5,64.28,Average Performer
STU0419,61.1,62.3,86.8,66.2,67.5,Average Performer
STU0420,100.0,80.2,71.4,72.8,84.88,High Performer
STU0421,65.7,88.4,90.1,72.0,76.38,High Performer
STU0422,68.3,60.1,94.1,73.6,72.88,Average Performer
STU0423,91.8,91.1,99.9,85.3,91.98,High Performer
STU0424,58.8,51.9,87.1,61.5,63.62,Average Performer
STU0425,83.5,72.8,77.8,73.1,78.14,High Performer
STU0426,48.2,70.7,55.8,62.4,57.06,Average Performer
STU0427,70.8,54.2,81.2,56.5,66.7,Average Performer
STU0428,68.6,89.3,82.0,65.7,74.84,Average Performer
STU0429,55.1,61.3,61.6,68.0,60.22,Average Performer
STU0430,82.5,71.7,81.6,75.5,78.76,High Performer
STU0431,81.2,58.9,33.7,83.5,67.7,Average Performer
STU0432,55.4,65.2,38.7,54.0,53.74,Average Performer
STU0433,44.1,65.9,59.6,46.2,51.98,Average Performer
STU0434,60.4,73.7,77.1,69.3,68.18,Average Performer
STU0435,87.1,62.8,93.9,64.5,79.08,High Performer
STU0436,72.2,65.1,99.6,68.7,75.56,High Performer
STU0437,76.3,72.8,84.0,68.8,75.64,High Performer
STU0438,100.0,81.3,98.7,95.6,95.12,High Performer
STU0439,86.0,86.6,97.1,79.9,87.12,High Performer
STU0440,46.0,56.8,26.1,63.0,47.58,Needs Improvement
STU0441,96.1,89.2,68.1,72.7,84.44,High Performer
STU0442,19.3,43.3,61.7,59.7,40.66,Needs Improvement
STU0443,,84.0,87.9,89.1,87.0,High Performer
STU0444,63.0,64.5,87.8,49.8,65.62,Average Performer
STU0445,79.9,75.0,79.7,94.6,81.82,High Performer
STU0446,60.0,49.7,76.9,66.0,62.52,Average Performer
STU0447,53.9,44.6,66.8,68.8,57.6,Average Performer
STU0448,10.0,0.0,76.6,4.1,20.14,Needs Improvement
STU0449,88.8,71.8,63.1,69.8,76.46,High Performer
STU0450,65.6,100.0,81.2,67.1,75.9,High Performer
